Fecha,SPEI,Zona
1925-03-16,-0.33282328,Sevilla
1925-04-16,-0.67664355,Sevilla
1925-05-16,0.33257,Sevilla
1925-06-16,2.0110707,Sevilla
1925-07-16,1.2696322,Sevilla
1925-08-16,0.42009202,Sevilla
1925-09-16,-0.8349723,Sevilla
1925-10-16,-0.1469875,Sevilla
1925-11-16,1.2175812,Sevilla
1925-12-16,1.0962802,Sevilla
1926-01-16,-0.28788316,Sevilla
1926-02-15,0.75576615,Sevilla
1926-03-16,-0.2501927,Sevilla
1926-04-16,-0.12933397,Sevilla
1926-05-16,0.74966425,Sevilla
1926-06-16,-0.3602207,Sevilla
1926-07-16,-0.26246583,Sevilla
1926-08-16,0.24202497,Sevilla
1926-09-16,-1.3974797,Sevilla
1926-10-16,0.9656209,Sevilla
1926-11-16,0.88395953,Sevilla
1926-12-16,-1.2963856,Sevilla
1927-01-16,-0.1556449,Sevilla
1927-02-15,0.3788742,Sevilla
1927-03-16,-0.6712702,Sevilla
1927-04-16,-1.4754134,Sevilla
1927-05-16,0.576559,Sevilla
1927-06-16,0.15305404,Sevilla
1927-07-16,1.4289007,Sevilla
1927-08-16,0.68105817,Sevilla
1927-09-16,-0.9570028,Sevilla
1927-10-16,0.69359905,Sevilla
1927-11-16,0.71067196,Sevilla
1927-12-16,1.5246011,Sevilla
1928-01-16,-1.2748991,Sevilla
1928-02-15,0.29305515,Sevilla
1928-03-16,1.1502113,Sevilla
1928-04-16,1.3203926,Sevilla
1928-05-16,1.0606827,Sevilla
1928-06-16,-0.06327651,Sevilla
1928-07-16,-1.2214055,Sevilla
1928-08-16,-0.5304484,Sevilla
1928-09-16,1.7731639,Sevilla
1928-10-16,-0.6200948,Sevilla
1928-11-16,-0.18724911,Sevilla
1928-12-16,-0.58796364,Sevilla
1929-01-16,-0.77664536,Sevilla
1929-02-15,0.8394006,Sevilla
1929-03-16,-0.38366288,Sevilla
1929-04-16,0.12972449,Sevilla
1929-05-16,-0.20767936,Sevilla
1929-06-16,-0.16844891,Sevilla
1929-07-16,0.3697833,Sevilla
1929-08-16,-0.0084708575,Sevilla
1929-09-16,0.7860894,Sevilla
1929-10-16,-0.5682466,Sevilla
1929-11-16,-0.15634981,Sevilla
1929-12-16,-0.34417236,Sevilla
1930-01-16,0.7730298,Sevilla
1930-02-15,0.2734009,Sevilla
1930-03-16,-0.4184138,Sevilla
1930-04-16,1.9133989,Sevilla
1930-05-16,0.16255859,Sevilla
1930-06-16,2.091218,Sevilla
1930-07-16,1.29318,Sevilla
1930-08-16,-0.32562274,Sevilla
1930-09-16,-0.86020863,Sevilla
1930-10-16,-1.2075777,Sevilla
1930-11-16,-0.2094328,Sevilla
1930-12-16,-0.3197903,Sevilla
1931-01-16,-0.54348457,Sevilla
1931-02-15,-1.1815218,Sevilla
